Party;Date;# of Seats;% of Seats;# of Votes;% of Votes
Likud - Likud (Likud, Likud);23. Jun 92;32;26. Jul;651229;24. Sep
Likud - Likud (Likud, Likud);29-May-96;32;26. Jul;767401;25. Jan
Raam - Ra'am (Ra'am, Raam);17-May-99;5;04. Feb;114810;03. Mai
Likud - Likud (Likud, Likud);28. Jan 03;38;31. Jul;925279;29. Apr
Likud - Likud (Likud, Likud);28-Mar-06;12;10;281996;9
Likud - Likud (Likud, Likud);10. Feb 09;27;22. Mai;729054;21. Jun
Likud - Likud (Likud, Likud);22. Jan 13;31;25. Aug;885163;23. Mrz
Likud - Likud (Likud, Likud);19-Mar-15;30;25;984966;23. Apr
Likud - Likud (Likud, Likud);09. Apr 19;35;29. Feb;1140370;26. Mai
Likud - Likud (Likud, Likud);17. Sep 19;32;26. Jul;1113617;25. Jan
Likud - Likud (Likud, Likud);2-Mar-20;36;30;1352449;29. Mai
Meretz - Meretz (Meretz, Meretz);23. Jun 92;12;10;250667;09. Jun
Meretz - Meretz (Meretz, Meretz);29-May-96;9;07. Mai;226275;07. Apr
YH - Yahadut Ha'thora (Yahadut Ha'thora, YH);17-May-99;5;04. Feb;125741;03. Aug
Meretz - Meretz (Meretz, Meretz);28. Jan 03;6;5;164122;05. Feb
Meretz - Meretz (Meretz, Meretz);28-Mar-06;5;04. Feb;118302;03. Aug
Meretz - Meretz (Meretz, Meretz);10. Feb 09;3;02. Mai;99611;3
Meretz - Meretz (Meretz, Meretz);22. Jan 13;6;5;172403;04. Mai
Meretz - Meretz (Meretz, Meretz);19-Mar-15;5;04. Feb;165292;03. Sep
Meretz - Meretz (Meretz, Meretz);09. Apr 19;4;03. Mrz;156473;03. Jun
Moledet - Moledet (Moledet, Moledet);23. Jun 92;3;02. Mai;62269;02. Apr
Moledet - Moledet (Moledet, Moledet);29-May-96;2;01. Jul;72002;02. Apr
NatU-NRP - National Union/NRP (National Union/NRP, NatU-NRP);23. Jun 92;6;5;129663;5
NatU-NRP - National Union/NRP (National Union/NRP, NatU-NRP);28-Mar-06;9;07. Mai;224083;07. Jan
NatU-NRP - National Union/NRP (National Union/NRP, NatU-NRP);10. Feb 09;4;03. Mrz;112570;03. Mrz
NRP - National Religious Party (National Religious Party, NRP);29-May-96;9;07. Mai;240271;07. Sep
Israel - Israel Our Home (Yisrael Beiteinu, Israel);17-May-99;4;03. Mrz;100181;3
NRP - National Religious Party (National Religious Party, NRP);28. Jan 03;6;5;132370;04. Feb
OL - Strength to Israel (Otzma Leyisrael, OL);22. Jan 13;0;0;66775;01. Aug
Others - Others (Others, Others);23. Jun 92;0;0;74851;02. Sep
Others - Others (Others, Others);29-May-96;0;0;0;0
NatU-NRP - National Union/NRP (National Union/NRP, NatU-NRP);17-May-99;4;03. Mrz;86153;02. Jun
Others - Others (Others, Others);28. Jan 03;0;0;131740;04. Feb
Others - Others (Others, Others);28-Mar-06;0;0;46488;01. Mai
Others - Others (Others, Others);10. Feb 09;0;0;45464;01. Mrz
Others - Others (Others, Others);22. Jan 13;0;0;37528;1
Others - Others (Others, Others);19-Mar-15;0;0;19315;0.5
PA - Progressive Alliance (Progressive Alliance, PA);29-May-96;0;0;13983;0.5
